City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,whistler,50.1164,-122.9695,17.57,59,100,2.57,CA,1686684544
84,chalmette,29.9427,-89.9634,34.99,61,40,5.66,US,1686684563
85,new plymouth,-39.0667,174.0833,10.45,89,41,2.48,NZ,1686684477
86,east london,-33.0153,27.9116,20.82,43,100,5.71,ZA,1686684563
87,la junta,37.985,-103.5438,22.16,46,20,3.6,US,1686684334
88,sicuani,-14.2694,-71.2261,14.73,39,16,3.89,PE,1686684563
89,rakops,-21.0167,24.3333,14.12,27,0,3.18,BW,1686684563
90,thompson,55.7435,-97.8558,9.09,61,75,3.09,CA,1686684564
91,kirensk,57.7853,108.1119,8.21,67,100,1.8,RU,1686684564
92,sihanoukville,10.6093,103.5296,25.97,100,40,1.03,KH,1686684564
93,sorong,-0.8833,131.25,25.66,88,100,3.88,ID,1686684564
94,cabo san lucas,22.8909,-109.9124,33.67,51,0,4.63,MX,1686684564
95,mwinilunga,-11.7358,24.4293,16.67,43,18,0.97,ZM,1686684564
96,okhotsk,59.3833,143.3,6.59,87,76,0.14,RU,1686684564
97,neyshabur,36.2133,58.7958,27.23,18,5,1.66,IR,1686684565
98,iskateley,67.6803,53.1512,7.39,68,100,6.08,RU,1686684565
99,bredasdorp,-34.5322,20.0403,15.87,68,100,11.23,ZA,1686684565
100,abepura,-2.6333,140.5833,23.45,88,20,0.0,ID,1686684565
101,gazli,40.1333,63.45,32.26,13,0,3.39,UZ,1686684565
102,punta arenas,-53.15,-70.9167,5.06,75,100,2.57,CL,1686684565
103,namtsy,62.7161,129.6658,3.78,96,100,3.52,RU,1686684565
104,pechora,65.1472,57.2244,12.16,97,100,2.54,RU,1686684566
105,hami,42.8,93.45,29.77,10,31,1.67,CN,1686684566
106,lihue,21.9789,-159.3672,26.58,85,100,8.23,US,1686684566
107,perevolotskiy,51.8763,54.1938,17.31,56,100,7.52,RU,1686684566
108,kalmunai,7.4167,81.8167,27.04,79,100,2.67,LK,1686684566
109,helena valley west central,46.6629,-112.0604,24.29,54,0,1.79,US,1686684566
